id_experience,job_title,company,from,to,current,description,employment_type,location,job_level,job_function,id_user
58,Backend Developer,Island Software Inc.,2020-01-01,2022-12-31,False,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Full-Time,Jembrana,Junior,Development,USR108
61,Backend Developer,Island Software Inc.,2020-01-01,2022-12-31,False,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Remote,Klungkung,Junior,Development,USR111
64,Product Manager,Island Software Inc.,2020-01-01,2022-12-31,True,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Full-Time,Jembrana,Junior,Development,USR114
67,Frontend Developer,Island Software Inc.,2020-01-01,2022-12-31,True,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Remote,Tabanan,Junior,Development,USR117
74,Frontend Developer,Island Software Inc.,2020-01-01,2022-12-31,True,Tested and ensured the quality of software by writing and executing test cases. Worked closely with developers to ensure high product standards.,Remote,Klungkung,Junior,Development,USR124
76,Backend Developer,Island Software Inc.,2020-01-01,2022-12-31,False,"Managed teams of developers and ensured projects were delivered on time, within scope, and on budget. Focused on team coordination and product delivery.",Remote,Gianyar,Junior,Development,USR126
79,Quality Assurance Engineer,Bali Digital Innovations,2020-01-01,2022-12-31,False,"Managed teams of developers and ensured projects were delivered on time, within scope, and on budget. Focused on team coordination and product delivery.",Part-Time,Tabanan,Junior,Development,USR129
88,Quality Assurance Engineer,Bali Tech Solutions,2020-01-01,2022-12-31,False,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Remote,Jembrana,Junior,Development,USR138
95,UX/UI Designer,Bali Tech Solutions,2020-01-01,2022-12-31,False,Collaborated in a team to build scalable applications using microservices architecture. Ensured the product was both performant and secure.,Full-Time,Bangli,Junior,Development,USR145
96,Quality Assurance Engineer,Bali Web Dev Co.,2020-01-01,2022-12-31,False,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Full-Time,Karangasem,Junior,Development,USR146
107,Mobile Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,False,Collaborated in a team to build scalable applications using microservices architecture. Ensured the product was both performant and secure.,Remote,Gianyar,Junior,Development,USR157
108,Quality Assurance Engineer,Bali Digital Innovations,2020-01-01,2022-12-31,True,Tested and ensured the quality of software by writing and executing test cases. Worked closely with developers to ensure high product standards.,Remote,Jembrana,Junior,Development,USR158
109,Data Analyst,Bali Web Dev Co.,2020-01-01,2022-12-31,True,"Led user research and design testing. Created wireframes, prototypes, and mockups for new features, ensuring they met user needs and expectations.",Part-Time,Klungkung,Junior,Development,USR159
112,Full Stack Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,True,Tested and ensured the quality of software by writing and executing test cases. Worked closely with developers to ensure high product standards.,Remote,Jembrana,Junior,Development,USR162
118,Frontend Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,False,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Part-Time,Klungkung,Junior,Development,USR168
120,Mobile Developer,Island Software Inc.,2020-01-01,2022-12-31,True,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Full-Time,Gianyar,Junior,Development,USR170
142,Frontend Developer,Ubud Software Hub,2020-01-01,2022-12-31,True,"Led user research and design testing. Created wireframes, prototypes, and mockups for new features, ensuring they met user needs and expectations.",Remote,Badung,Junior,Development,USR192
